PARK_NAME,LATITUDE,LONGITUDE,ADDRESS,URL
Aberdeen Park,49.2346668321984,-123.027278010719,3525 Foster Av,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Adanac Park,49.2762275335733,-123.025504307298,1025 Boundary Road,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=65
Alexandra Park,49.2853986805251,-123.142163356936,1755 Beach Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=199
Alice Townley Park,49.2689971287115,-123.074120708109,1775 Woodland Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=49
Almond Park,49.261387656885,-123.185625257649,3600 W 12th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=106
Andy Livingstone Park,49.278410506362,-123.103409998654,89 Expo Boulevard,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=10
Angus Park,49.2537445030558,-123.143694381029,3600 Angus Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=169
Arbutus Greenway Park,49.2620966111669,-123.154832269797,W 11th Av Between Vine St And Arbutus St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Arbutus Park,49.2164037697703,-123.15507716898,7601 Arbutus St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=90
Arbutus Village Park,49.2507171496148,-123.154995056912,4202 Valley Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=1
Art Phillips Park,49.2856420376793,-123.120265246093,625 Burrard St,http://www.city.vancouver.bc.ca/parks/parks/index.htm
Ash Park,49.2102692246904,-123.119500546491,8288 Ash St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=122
Balaclava Park,49.245000371987,-123.175757721376,4594 Balaclava St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=34
Barclay Heritage Square,49.2872117694644,-123.132075642853,1433 Barclay St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=0
Bates Park,49.2917168799488,-123.024899084454,669 Fellowes St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=66
Beaconsfield Park,49.2554976640923,-123.05077143286,3215 Slocan St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=148
Bobolink Park,49.2149629218296,-123.057302802207,2510 Hoylake Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=191
Braemar Park,49.2475504970171,-123.123486902975,895 W 27th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=174
Brewers Park,49.2472554977417,-123.066353391376,4175 Victoria Drive,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=79
Burrard View Park,49.2908038942077,-123.050496711633,650 North Penticton St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=67
Callister Park,49.2861285141336,-123.045132268307,2875 Oxford St,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=68
Cambie Park,49.221282787635,-123.117729112691,500 W 54th Av,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=142
