LIBRARY_NAME,LATITUDE,LONGITUDE,ADDRESS,URLLINK
Renfrew,49.2524249068635,-123.042958058734,2969 E 22nd Av,http://www.vpl.ca/branches/details/renfrew_branch
Riley Park,49.2496745761709,-123.101432658316,3981 Main St,http://www.vpl.ca/branches/details/riley_park_branch
South Hill,49.2295038329774,-123.090277877591,6076 Fraser St,http://www.vpl.ca/branches/details/south_hill_branch
Strathcona,49.279779792626,-123.091546208357,592 E Pender St,http://www.vpl.ca/branches/details/strathcona_branch
West Point Grey,49.2635361810043,-123.208642168872,4480 W 10th Av,http://www.vpl.ca/branches/details/west_point_grey_branch
Britannia,49.2756486033504,-123.073771672447,1661 Napier St,http://www.vpl.ca/branches/details/britannia_branch
Carnegie,49.2810519846146,-123.100127212685,401 Main St,http://www.vpl.ca/branches/details/carnegie_branch
Central Branch,49.279698127784,-123.11555622237,350 W Georgia St,http://www.vpl.ca/branches/details/central_library
Champlain Heights,49.219088065007,-123.040183232883,7110 Kerr St,http://www.vpl.ca/branches/details/champlain_heights_branch
Collingwood,49.2362319717541,-123.042638743316,2985 Kingsway,http://www.vpl.ca/branches/details/collingwood_branch
Dunbar,49.2459743831748,-123.185626746517,4515 Dunbar St,http://www.vpl.ca/branches/details/dunbar_branch
Firehall,49.2628710568171,-123.137578980719,1455 W 10th Av,http://www.vpl.ca/branches/details/firehall_branch
Fraserview,49.2196547341562,-123.06685604494,1950 Argyle Drive,http://www.vpl.ca/branches/details/fraserview_branch
Hastings,49.2808683542579,-123.050049277881,2674 E Hastings St,http://www.vpl.ca/branches/details/hastings_branch
Joe Fortes,49.289912961681,-123.136073777706,870 Denman St,http://www.vpl.ca/branches/details/joe_fortes_branch
Kensington,49.2490716040766,-123.075344372131,1428 Cedar Cottage Mews,http://www.vpl.ca/branches/details/kensington_branch
Kerrisdale,49.2331853554205,-123.157092907213,2112 W 42nd Av,http://www.vpl.ca/branches/details/kerrisdale_branch
Kitsilano,49.2647182072995,-123.168698922535,2425 Macdonald St,http://www.vpl.ca/branches/details/kitsilano_branch
Marpole,49.2103922442907,-123.140048597797,8386 Granville St,http://www.vpl.ca/branches/details/marpole_branch
Mount Pleasant,49.2643146495987,-123.100221039816,1 Kingsway,http://www.vpl.ca/branches/details/mount_pleasant_branch
Oakridge,49.2326967118593,-123.117186318925,191-650 W 41st Av,http://www.vpl.ca/branches/details/oakridge_branch
Outreach Services,49.279698127784,-123.11555622237,302-345 Robson St,http://www.vpl.ca/branches/details/outreach_branch
