SCHOOL_NAME,LATITUDE,LONGITUDE,ADDRESS,URLLINK
Southlands Elem.,49.238137586,-123.19781516,5351 Camosun St,http://www.vsb.bc.ca/schools/southlands
Captain James Cook Elem.,49.2193808,-123.03582905,3340 E 54th Av,http://www.vsb.bc.ca/schools/captain-james-cook
Chief Maquinna Elem.,49.267886314,-123.05058984,2684 E 2nd Av,http://www.vsb.bc.ca/schools/chief-maquinna
Oppenheimer Elem.,49.2133181112521,-123.058293310213,2421 Scarboro Av,http://www.vsb.bc.ca/schools/david-oppenheimer
Sir Charles Kingsford-Smith Elem.,49.221596674,-123.0557042,6901 Elliott St,http://www.vsb.bc.ca/schools/sir-charles-kingsford-smith
Carnarvon Elem.,49.2565874222733,-123.173557238565,3400 Balaclava St,http://www.vsb.bc.ca/schools/carnarvon
Dr. A. R. Lord Elem.,49.2796404851544,-123.03951720288,555 Lillooet St,http://www.vsb.bc.ca/schools/dr-ar-lord
McKechnie Elem.,49.21770659,-123.15401133,7455 Maple St,http://www.vsb.bc.ca/schools/dr-re-mckechnie
Waverley Annex,49.227837226,-123.05578593,6111 Elliott St,http://www.vsb.bc.ca/schools/waverley
Cunningham Elem.,49.236732227,-123.05745595,2330 E 37th Av,http://www.vsb.bc.ca/schools/george-t-cunningham
Nootka Elem.,49.253592971,-123.04294917,3375 Nootka St,http://www.vsb.bc.ca/schools/nootka
Tecumseh Annex,49.237116273,-123.07309884,1551 E 37th Av,http://www.vsb.bc.ca/schools/tecumseh-annex
Jamieson Elem.,49.226906936,-123.12100426,6350 Tisdall St,http://www.vsb.bc.ca/schools/dr-annie-b-jamieson
Weir Elem.,49.22957876,-123.04440254,2900 E 44th Av,http://www.vsb.bc.ca/schools/dr-george-m-weir
Henderson Elem.,49.222569589,-123.09527169,451 E 53rd Av,http://www.vsb.bc.ca/schools/john-henderson
Queen Victoria Annex,49.26718785,-123.06634874,1850 E 3rd Av,http://www.vsb.bc.ca/schools/queen-victoria-grandview-annex
McBride Annex,49.2419442301445,-123.084950188923,4750 St. Catherines St,http://www.vsb.bc.ca/schools/mcbride-annex
King George Sec.,49.289824153,-123.13644517,1755 Barclay St,http://www.vsb.bc.ca/schools/king-george
Britannia Sec.,49.2752359917843,-123.07192309841,1001 Cotton Drive,http://www.vsb.bc.ca/schools/britannia-secondary
Magee Sec.,49.2285538659929,-123.151537987609,6360 Maple St,http://www.vsb.bc.ca/schools/magee
Kitsilano Sec.,49.262654773,-123.16358941,2550 W 10th Av,http://www.vsb.bc.ca/schools/kitsilano
John Oliver Sec.,49.231957151,-123.09279776,530 E 41st Av,http://www.vsb.bc.ca/schools/john-oliver
Lord Byng Sec.,49.2595665510185,-123.192530952998,3939 W 16th Av,http://www.vsb.bc.ca/schools/lord-byng
Templeton Sec.,49.278439094,-123.06069106,727 Templeton Drive,http://www.vsb.bc.ca/schools/templeton
Vancouver Technical Sec.,49.260755476,-123.05129984,2600 E Broadway,http://www.vsb.bc.ca/schools/vancouver-technical
Point Grey Sec.,49.2372792444418,-123.153406112125,5350 Eest Boulevard,http://www.vsb.bc.ca/schools/point-grey
Gladstone Sec.,49.247612036,-123.06163307,4105 Gladstone St,http://www.vsb.bc.ca/schools/gladstone
Sir Winston Churchill Sec.,49.221059569,-123.12561546,7055 Heather St,http://www.vsb.bc.ca/schools/sir-winston-churchill
Killarney Sec.,49.225300105,-123.04415722,6454 Killarney St,http://www.vsb.bc.ca/schools/killarney
Sir Charles Tupper Sec.,49.249753502,-123.09480948,419 E 24th Av,http://www.vsb.bc.ca/schools/sir-charles-tupper
David Thompson Sec.,49.220439257,-123.0706316,1755 E 55th Av,http://www.vsb.bc.ca/schools/david-thompson
Prince Of Wales Sec.,49.244983054,-123.15953565,2250 Eddington Drive,http://www.vsb.bc.ca/schools/prince-wales
Windermere Sec.,49.246512457,-123.0371743,3155 E 27th Av,http://www.vsb.bc.ca/schools/windermere
Eric Hamber Sec.,49.239630962,-123.12579096,5025 Willow St,http://www.vsb.bc.ca/
University Hill Sec.,49.261616,-123.232815,2896 Acadia Road,http://www.vsb.bc.ca/schools/university-hill
Lord Strathcona Elem.,49.2798115155978,-123.091476792421,592 E Pender St,http://www.vsb.bc.ca/schools/lord-strathcona
Sir Guy Carleton Elem.,49.234347747,-123.03760798,3250 Kingsway,http://www.vsb.bc.ca/schools/sir-guy-carleton
Lord Roberts Elem.,49.286785283,-123.13784476,1100 Bidwell St,http://www.vsb.bc.ca/schools/lord-roberts
Admiral Seymour Elem.,49.27859427,-123.0803143,1130 Keefer St,http://www.vsb.bc.ca/schools/admiral-seymour
Macdonald Elem.,49.28072391,-123.06467911,1950 E Hastings St,http://www.vsb.bc.ca/schools/sir-william-macdonald
David Lloyd George Elem.,49.209962412,-123.13634891,8370 Cartier St,http://www.vsb.bc.ca/schools/david-lloyd-george
Brock Elem.,49.241215222,-123.10063141,4860 Main St,http://www.vsb.bc.ca/schools/general-brock
Kerrisdale Elem.,49.236168246,-123.17345921,5555 Carnarvon St,http://www.vsb.bc.ca/schools/kerrisdale
Lord Selkirk Elem.,49.249691953,-123.06900705,1750 E 22nd Av,http://www.vsb.bc.ca/schools/lord-selkirk
Nightingale Elem.,49.260059325,-123.09371757,2740 Guelph St,http://www.vsb.bc.ca/schools/florence-nightingale
Gordon Elem.,49.265979903,-123.17067418,2896 W 6th Av,http://www.vsb.bc.ca/schools/general-gordon
Henry Hudson Elem.,49.272245879,-123.14935629,1551 Cypress St,http://www.vsb.bc.ca/schools/henry-hudson
Laura Secord Elem.,49.261735704,-123.06022338,2500 Lakewood Drive,http://www.vsb.bc.ca/schools/laura-secord
Walter Moberly Annex,49.216109231,-123.08434542,1000 E 59th Av,http://www.vsb.bc.ca/schools/walter-moberly
Trudeau Elem.,49.214454005,-123.096959,449 E 62nd Av,http://www.vsb.bc.ca/schools/pierre-elliott-trudeau
Van Horne Elem.,49.231566487,-123.10656921,5855 Ontario St,http://www.vsb.bc.ca/schools/sir-william-van-horne
Dickens Elem.,49.254862561,-123.08294436,3351 Glen Drive,http://www.vsb.bc.ca/schools/charles-dickens
Livingstone Elem.,49.250753337,-123.09798144,315 E 23rd Av,http://www.vsb.bc.ca/schools/david-livingstone
Hastings Elem.,49.2826109608204,-123.050577408683,2625 Franklin St,http://www.vsb.bc.ca/schools/hastings
John Norquay Elem.,49.241424696,-123.0516408,4710 Slocan St,http://www.vsb.bc.ca/schools/john-norquay
Sexsmith Elem.,49.217267793,-123.10879442,7455 Ontario St,http://www.vsb.bc.ca/schools/jw-sexsmith
Sir James Douglas Elem.,49.215594159,-123.06488106,7550 Victoria Drive,http://www.vsb.bc.ca/schools/sir-james-douglas
Franklin Elem.,49.282496197,-123.02758566,250 Skeena St,http://www.vsb.bc.ca/schools/sir-john-franklin
Sir Sandford Fleming Elem.,49.22574769,-123.07657409,1401 E 49th Av,http://www.vsb.bc.ca/schools/sir-sandford-fleming
Bayview Elem.,49.266487007,-123.18233379,2251 Collingwood St,http://www.vsb.bc.ca/schools/bayview
Lord Beaconsfield Elem.,49.252138376,-123.05269627,3663 Penticton St,http://www.vsb.bc.ca/schools/lord-beaconsfield
Kitchener Elem.,49.250583805,-123.17917598,4055 Blenheim St,http://www.vsb.bc.ca/schools/lord-kitchener
Edith Cavell Elem.,49.25290711,-123.11722884,500 W 20th Av,http://www.vsb.bc.ca/schools/edith-cavell
Shaughnessy Elem.,49.248676076,-123.14380998,4250 Marguerite St,http://www.vsb.bc.ca/schools/shaughnessy
